Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,6192788,4,4,97,231,97,0,24.25,48.5,231,0,57.75,115.5,52,1,884684.0,2315064.76877344,6134536,40,58252,19417.3333333333,33195.5895614663,57748,121,6192445,2064148.33333333,3574639.07933295,6191786,199,0,0,0,0,92,92,0.645912632565494,0.645912632565494,0,231,36.4444444444444,79.6996096463325,6352.027777777779,0,0,0,1,0,0,0,0,1,41.0,24.25,57.75,0,0,0,0,0,0,4,97,4,231,8192,141,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,791,3,4,161,488,161,0,53.6666666666667,92.95339333952971,488,0,122.0,244.0,820480,8849,131.833333333333,82.966057316632,255,30,435,217.5,125.157900270019,306,129,536,178.666666666667,149.506967507649,329,30,0,0,0,0,72,92,3792.6675094816705,5056.8900126422295,0,488,81.125,173.787585862742,30202.125,0,0,0,1,0,0,0,0,1,92.7142857142857,53.6666666666667,122.0,0,0,0,0,0,0,3,161,4,488,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,3802027,15,27,407,33409,407,0,27.1333333333333,105.086948127095,1460,0,1237.37037037037,526.776784441741,8894,11,92732.3658536585,585028.979784197,3747295,1,54732,3909.4285714285706,6437.72692462518,17450,52,3785522,145597.0,734618.164646805,3747307,1,0,0,0,0,312,552,3.94526393421194,7.101475081581481,0,1460,786.418604651163,725.820758162068,526815.772978959,0,0,0,1,0,0,0,0,1,805.1428571428571,27.1333333333333,1237.37037037037,0,0,0,0,0,0,15,407,27,33409,8192,4106,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,384,1,1,56,72,56,56,56.0,0.0,72,72,72.0,0.0,333333,5208,384.0,0.0,384,384,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2604.1666666666697,2604.1666666666697,56,72,61.3333333333333,9.23760430703401,85.3333333333333,0,0,0,0,0,0,0,0,1,92.0,56.0,72.0,0,0,0,0,0,0,1,56,1,72,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,132185,10,8,510,7523,194,0,51.0,80.3464719546263,1460,0,940.375,712.0541587547959,60770,136,7775.58823529412,16436.2421269995,61979,1,132185,14687.222222222199,20754.378398170502,62010,21,120801,17257.2857142857,40230.7805778705,107999,1,0,0,0,0,212,172,75.6515489654651,60.521239172372105,0,1460,422.789473684211,637.330855900639,406190.619883041,0,0,0,1,0,0,0,0,0,446.277777777778,51.0,940.375,0,0,0,0,0,0,10,510,8,7523,8192,60,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,5591521,4,4,97,231,97,0,24.25,48.5,231,0,57.75,115.5,58,1,798788.7142857141,2086154.98929855,5529461,40,62060,20686.6666666667,35506.4795401253,61686,154,5591341,1863780.33333333,3227680.72275455,5590785,183,0,0,0,0,92,92,0.715368859385487,0.715368859385487,0,231,36.4444444444444,79.6996096463325,6352.027777777779,0,0,0,1,0,0,0,0,1,41.0,24.25,57.75,0,0,0,0,0,0,4,97,4,231,8192,141,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,35167,2,2,102,294,51,51,51.0,0.0,147,147,147.0,0.0,11260,113,11722.333333333301,19717.377724569098,34490,338,34828,34828.0,0.0,34828,34828,34829,34829.0,0.0,34829,34829,0,0,0,0,16,16,56.8714988483522,56.8714988483522,51,147,89.4,52.581365520496,2764.8,0,0,0,0,0,0,0,0,1,111.75,51.0,147.0,0,0,0,0,0,0,2,102,2,294,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,60941702,14,14,1211,3396,875,0,86.5,235.073065564403,1460,0,242.57142857142898,520.660485018155,75,0,2257100.07407407,4222936.7717525,10013405,1,60941702,4687823.23076923,5184189.01609262,10077980,375,60872221,4682478.53846154,5200290.26209475,10082853,1,0,0,0,0,292,284,0.229727748660515,0.229727748660515,0,1460,158.862068965517,398.17231769835604,158541.194581281,0,0,0,1,0,0,0,0,1,164.535714285714,86.5,242.57142857142898,0,0,0,0,0,0,14,1211,14,3396,8192,31500,9,20,99093.8333333333,72747.4813101228,247589,69362,10009358.3333333,1982.50898274547,10013405,10008522,Benign
53,17,3796,1,1,31,78,31,31,31.0,0.0,78,78,78.0,0.0,28714,526,3796.0,0.0,3796,3796,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,263.435194942044,263.435194942044,31,78,46.6666666666667,27.1354626519124,736.333333333333,0,0,0,0,0,0,0,0,1,70.0,31.0,78.0,0,0,0,0,0,0,1,31,1,78,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,72,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,27777,72.0,0.0,72,72,72,72.0,0.0,72,72,0,0.0,0.0,0,0,0,0,0,0,40,0,27777.7777777778,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
