Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,6,117744692,17,18,1253,7853,603,0,73.7058823529412,150.13359247095698,1430,0,436.277777777778,589.10728130697,77,0,3463079.17647059,13926082.3567412,58481405,0,117744692,7359043.25,19928044.1161193,58615884,36,117588520,6916971.76470588,19402988.322894298,58576385,0,0,0,0,0,352,372,0.144380181486228,0.15287313333835903,0,1430,252.944444444444,462.15575262300905,213587.93968254,0,0,0,1,0,0,0,0,1,260.171428571429,73.7058823529412,436.277777777778,0,0,0,0,0,0,17,1253,18,7853,8192,181,8,20,452704.5,419429.579648956,749286,156123,58341582.5,197738.875824912,58481405,58201760,Benign
80,6,137,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14598,137.0,0.0,137,137,137,137.0,0.0,137,137,0,0.0,0.0,0,0,0,0,0,0,40,0,14598.5401459854,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,252,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53774,6,13,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,153846,13.0,0.0,13,13,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,76923.07692307691,76923.07692307691,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,184,257,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,591,1,1,65,193,65,65,65.0,0.0,193,193,193.0,0.0,436548,3384,591.0,0.0,591,591,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1692.0473773265699,1692.0473773265699,65,193,107.666666666667,73.9008344562721,5461.333333333329,0,0,0,0,0,0,0,0,1,161.5,65.0,193.0,0,0,0,0,0,0,1,65,1,193,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,5357920,8,6,351,3957,194,0,43.875,74.71170782223021,1460,0,659.5,682.1969656924599,804,2,412147.692307692,1412213.7911959,5110559,0,5357920,765417.142857143,1916970.13393544,5110559,19,76156,15231.2,20504.9571860075,42280,0,0,0,0,0,172,132,1.4931167318661,1.1198375488995702,0,1460,287.2,517.812735041761,268130.02857142896,0,0,0,1,0,0,0,0,0,307.714285714286,43.875,659.5,0,0,0,0,0,0,8,351,6,3957,8192,946,3,20,247342.0,0.0,247342,247342,5110559.0,0.0,5110559,5110559,Benign
50958,6,23,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,86956,23.0,0.0,23,23,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,43478.2608695652,43478.2608695652,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,119,252,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,9014972,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,4507486.0,2110623.23217385,5999922,3015050,9014972,4507486.0,2110623.23217385,5999922,3015050,0,0.0,0.0,0,0,0,0,0,0,92,0,0.332779735755141,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,8192,-1,0,28,3015050.0,0.0,3015050,3015050,5999922.0,0.0,5999922,5999922,Benign
443,6,469,3,0,77,0,46,0,25.6666666666667,23.4591844132172,0,0,0.0,0.0,164179,6396,234.5,306.177236253775,451,18,469,234.5,306.177236253775,451,18,0,0.0,0.0,0,0,1,0,0,0,60,0,6396.58848614072,0.0,0,46,30.75,21.6852484422014,470.25,0,1,0,0,1,0,0,0,0,41.0,25.6666666666667,0.0,0,0,0,0,0,0,3,77,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,332,1,1,31,63,31,31,31.0,0.0,63,63,63.0,0.0,283132,6024,332.0,0.0,332,332,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3012.0481927710803,3012.0481927710803,31,63,41.6666666666667,18.475208614068002,341.33333333333303,0,0,0,0,0,0,0,0,1,62.5,31.0,63.0,0,0,0,0,0,0,1,31,1,63,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,17567,1,1,77,155,77,77,77.0,0.0,155,155,155.0,0.0,13206,113,17567.0,0.0,17567,17567,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,56.9249160357489,56.9249160357489,77,155,103.0,45.0333209967908,2028.0,0,0,0,0,0,0,0,0,1,154.5,77.0,155.0,0,0,0,0,0,0,1,77,1,155,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,119733263,17,19,1875,1006,517,0,110.294117647059,180.44658652419898,329,0,52.9473684210526,78.7735669739613,24,0,3420950.37142857,13743933.047777802,58658605,2,119733263,7483328.9375,19920499.8271174,58794266,211,119577585,6643199.16666667,18891858.7131625,58754311,2,0,0,0,0,352,392,0.14198226603078498,0.15868606203440697,0,517,77.8648648648649,136.260404732622,18566.8978978979,0,0,0,1,0,0,0,0,1,80.0277777777778,110.294117647059,52.9473684210526,0,0,0,0,0,0,17,1875,19,1006,8192,184,10,20,1350247.5,1689619.63282998,2544989,155506,58438523.0,311242.94923419604,58658605,58218441,Benign
3389,6,3891710,9,7,1148,1581,677,0,127.555555555556,218.69105555046798,1173,0,225.85714285714297,430.09860441974195,701,4,259447.333333333,310505.403701005,953155,82,3891710,486463.75,380244.082138885,1224327,23336,3678595,613099.166666667,408402.440085961,1191809,238295,0,0,0,0,192,152,2.31260808230829,1.79869517512867,0,1173,160.529411764706,312.044090964534,97371.5147058823,0,0,0,1,0,0,0,0,0,170.5625,127.555555555556,225.85714285714297,0,0,0,0,0,0,9,1148,7,1581,8192,62852,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,16070514,10,13,1551,7514,517,0,155.1,225.275855588456,1460,0,578.0,672.129327833069,564,1,730477.9090909091,2419866.89187413,10003767,1,10157651,1128627.88888889,3328196.86525724,10003767,4272,16041757,1336813.08333333,3216849.00647952,10031902,1,0,0,0,0,212,284,0.6222576328299151,0.808934922678889,0,1460,377.708333333333,553.155491872227,305980.998188406,0,0,0,1,0,0,0,0,1,394.13043478260903,155.1,578.0,0,0,0,0,0,0,10,1551,13,7514,8192,35,5,20,90998.5,88933.5269766133,153884,28113,7944258.0,2912585.55962945,10003767,5884749,Benign
