Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,17,114000070,11,0,352,0,32,32,32.0,0.0,0,0,0.0,0.0,3,0,11400000.0,6257936.28,23000000,1999907,114000000,11400000.0,6257936.28,23000000,1999907,0,0.0,0.0,0,0,0,0,0,0,88,0,0.096491169,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,34.90909091,32.0,0.0,0,0,0,0,0,0,11,352,0,0,-1,-1,10,8,4000007.0,0.0,4000007,4000007,13800000.0,4335167.385,23000000,8999997,Benign
80,17,118031920,15,0,480,0,32,32,32.0,0.0,0,0,0.0,0.0,4,0,8430851.429,10300000.0,42000000,1003910,118000000,8430851.429,10300000.0,42000000,1003910,0,0.0,0.0,0,0,0,0,0,0,120,0,0.127084267,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,34.13333333,32.0,0.0,0,0,0,0,0,0,15,480,0,0,-1,-1,14,8,5334643.666999999,4507412.57,10000000,1003910,11300000.0,12000000.0,42000000,5004033,Benign
80,6,93,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,21505,93.0,0.0,93,93,93,93.0,0.0,93,93,0,0.0,0.0,0,0,0,0,0,0,40,0,21505.376344086002,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,284,1,1,41,57,41,41,41.0,0.0,57,57,57.0,0.0,345070,7042,284.0,0.0,284,284,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3521.1267605633793,3521.1267605633793,41,57,46.3333333333333,9.23760430703401,85.3333333333333,0,0,0,0,0,0,0,0,1,69.5,41.0,57.0,0,0,0,0,0,0,1,41,1,57,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,1295,1,1,36,97,36,36,36.0,0.0,97,97,97.0,0.0,102702,1544,1295.0,0.0,1295,1295,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,772.2007722007719,772.2007722007719,36,97,56.3333333333333,35.2183664205672,1240.33333333333,0,0,0,0,0,0,0,0,1,84.5,36.0,97.0,0,0,0,0,0,0,1,36,1,97,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,100056279,24,19,11973,6261,1365,0,498.875,476.885850209916,1460,0,329.526315789474,456.000775879098,182,0,2382292.35714286,10005277.2679765,59951744,1,100056279,4350273.0,13328443.353237,59951744,442,39835860,2213103.33333333,6326033.75392193,26529125,1,0,0,0,0,492,392,0.23986500637306302,0.189893130045342,0,1460,414.40909090909105,468.87749767120397,219846.10782241,0,0,0,1,0,0,0,0,0,424.046511627907,498.875,329.526315789474,0,0,0,0,0,0,24,11973,19,6261,8192,513,15,20,2918495.5,2762860.64846067,4872133,964858,16775882.0,13401670.3730351,26252294,7299470,Benign
80,6,90,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,22222,90.0,0.0,90,90,90,90.0,0.0,90,90,0,0.0,0.0,0,0,0,0,0,0,40,0,22222.2222222222,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,54037784,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,54037784.0,0.0,54037784,54037784,54037784,54037784.0,0.0,54037784,54037784,0,0.0,0.0,0,0,0,0,0,0,40,0,0.037011140205157,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
51209,6,2149,2,1,38,0,38,0,19.0,26.870057685088803,0,0,0.0,0.0,17682,1395,1074.5,1498.35926933429,2134,15,2149,2149.0,0.0,2149,2149,0,0.0,0.0,0,0,1,0,0,0,40,20,930.6654257794321,465.33271288971605,0,38,19.0,21.939310229205798,481.333333333333,0,1,0,0,1,0,0,0,0,25.3333333333333,19.0,0.0,0,0,0,0,0,0,2,38,1,0,176,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
51330,6,87,3,1,31,0,31,0,10.3333333333333,17.8978583448784,0,0,0.0,0.0,356321,45977,29.0,9.8488578017961,40,21,87,43.5,4.94974746830583,47,40,0,0.0,0.0,0,0,0,0,0,0,60,20,34482.7586206897,11494.2528735632,0,31,6.2,13.8636214604987,192.2,0,0,0,0,1,0,0,0,0,7.75,10.3333333333333,0.0,0,0,0,0,0,0,3,31,1,0,946,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
