Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8545,6,19,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,105263,19.0,0.0,19,19,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,52631.57895,52631.57895,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,65535,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
445,6,408839,7,5,455,338,140,0,65.0,64.2053995652494,145,0,67.6,69.7588704036985,1939,29,37167.1818181818,51364.5613488876,104185,3,408839,68139.8333333333,52563.8008877466,104252,3,408262,102065.5,1551.34447066623,104389,101177,0,0,0,0,160,108,17.1216542453142,12.2297530323673,0,145,61.0,63.410041265822706,4020.8333333333294,0,0,0,1,0,0,0,0,0,66.0833333333333,65.0,67.6,0,0,0,0,0,0,7,455,5,338,8192,0,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,4154047,91,145,8542,194296,469,0,93.86813186813191,182.021440055299,1460,0,1339.9724137931,351.681475691893,48829,56,17676.7957446809,39512.5789235386,193156,0,4154047,46156.077777777806,60272.3589803925,200990,19,4041000,28062.5,59101.849369382006,333048,0,0,0,0,0,1832,2912,21.9063481949049,34.905719651222,0,1460,855.8565400843879,677.55991392582,459087.436959165,0,0,0,1,0,0,0,0,1,859.483050847458,93.86813186813191,1339.9724137931,0,0,0,0,0,0,91,8542,145,194296,8192,12869,21,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,47261,9,7,557,3773,206,0,61.8888888888889,88.34371008233191,1460,0,539.0,655.4329358014701,91618,338,3150.73333333333,4183.3123319526,10012,1,47261,5907.625,5824.831964161221,16008,21,37077,6179.5,8273.41624119082,20783,1,0,0,0,0,192,152,190.43185713378898,148.11366665961398,0,1460,254.70588235294102,474.6863128301,225327.095588235,0,0,0,1,0,0,0,0,0,270.625,61.8888888888889,539.0,0,0,0,0,0,0,9,557,7,3773,8192,119,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,10261988,9,11,777,6605,459,0,86.3333333333333,156.660460869997,1420,0,600.454545454546,664.778062760251,719,1,540104.6315789471,2278808.36256548,9950025,0,311963,38995.375,33186.9513984789,93317,36,10238451,1023845.1,3154218.56071711,9999926,0,0,0,0,0,192,232,0.8770230485555041,1.07191705934562,0,1420,351.52380952381003,550.171484089063,302688.661904762,0,0,0,1,0,0,0,0,1,369.1,86.3333333333333,600.454545454546,0,0,0,0,0,0,9,777,11,6605,8192,239,3,20,311963.0,0.0,311963,311963,9950025.0,0.0,9950025,9950025,Benign
80,6,47197,3,4,437,860,437,0,145.666666666667,252.30206763586602,860,0,215.0,430.0,27480,148,7866.16666666667,12091.130723247801,23503,2,23724,11862.0,16509.5291271435,23536,188,23694,7898.0,13658.090679154198,23669,2,0,0,0,0,72,92,63.5633620780982,84.75114943746419,0,860,162.125,320.778712109855,102898.982142857,0,0,0,1,0,0,0,0,1,185.285714285714,145.666666666667,215.0,0,0,0,0,0,0,3,437,4,860,8192,31,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,497,1,1,36,52,36,36,36.0,0.0,52,52,52.0,0.0,177062,4024,497.0,0.0,497,497,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2012.0724346076502,2012.0724346076502,36,52,41.3333333333333,9.23760430703401,85.3333333333333,0,0,0,0,0,0,0,0,1,62.0,36.0,52.0,0,0,0,0,0,0,1,36,1,52,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,287,1,1,37,69,37,37,37.0,0.0,69,69,69.0,0.0,369337,6968,287.0,0.0,287,287,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3484.3205574912895,3484.3205574912895,37,69,47.6666666666667,18.475208614068002,341.33333333333303,0,0,0,0,0,0,0,0,1,71.5,37.0,69.0,0,0,0,0,0,0,1,37,1,69,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,339,1,1,40,56,40,40,40.0,0.0,56,56,56.0,0.0,283185,5899,339.0,0.0,339,339,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2949.85250737463,2949.85250737463,40,56,45.3333333333333,9.23760430703401,85.3333333333333,0,0,0,0,0,0,0,0,1,68.0,40.0,56.0,0,0,0,0,0,0,1,40,1,56,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,1209,1,1,44,72,44,44,44.0,0.0,72,72,72.0,0.0,95947,1654,1209.0,0.0,1209,1209,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,827.1298593879241,827.1298593879241,44,72,53.3333333333333,16.1658075373095,261.33333333333303,0,0,0,0,0,0,0,0,1,80.0,44.0,72.0,0,0,0,0,0,0,1,44,1,72,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
3389,6,12771283,11,7,1148,1581,677,0,104.363636363636,202.294474826809,1173,0,225.85714285714297,430.09860441974195,213,1,751251.941176471,2007432.6192283002,8182825,4,12771283,1277128.3,2542234.02716194,8182825,4,12619876,2103312.66666667,3200142.41425063,8350548,114357,0,0,0,0,232,152,0.8613073565122621,0.548104681416894,0,1173,143.63157894736798,298.520278582789,89114.3567251462,0,0,1,1,0,0,0,1,0,151.611111111111,104.363636363636,225.85714285714297,0,0,0,0,0,0,11,1148,7,1581,8192,62852,5,20,396270.0,0.0,396270,396270,8182825.0,0.0,8182825,8182825,Benign
53,17,2073,1,1,37,97,37,37,37.0,0.0,97,97,97.0,0.0,64640,964,2073.0,0.0,2073,2073,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,482.392667631452,482.392667631452,37,97,57.0,34.6410161513775,1200.0,0,0,0,0,0,0,0,0,1,85.5,37.0,97.0,0,0,0,0,0,0,1,37,1,97,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
3389,6,2351946,9,9,1213,1874,661,0,134.777777777778,209.079995323427,1173,0,208.22222222222197,381.22000792776396,1312,7,138349.764705882,232211.87895043398,953115,42,2351946,293993.25,378673.06645358,1183289,75,2176193,272024.125,287322.142534641,953115,65436,0,0,0,0,192,204,3.82661846828116,3.82661846828116,0,1173,162.47368421052602,294.814700451553,86915.7076023392,0,0,1,1,0,0,0,1,1,171.5,134.777777777778,208.22222222222197,0,0,0,0,0,0,9,1213,9,1874,8192,62872,6,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
3389,6,2800941,9,7,1148,1581,677,0,127.555555555556,218.69105555046798,1173,0,225.85714285714297,430.09860441974195,974,5,186729.4,297665.52212815697,953136,68,2800941,350117.625,433332.729916446,1219240,68,2587547,431257.83333333296,455817.352740071,1074993,72207,0,0,0,0,188,148,3.21320584760622,2.49916010369372,0,1173,160.529411764706,312.044090964534,97371.5147058823,0,0,0,1,0,0,0,0,0,170.5625,127.555555555556,225.85714285714297,0,0,0,0,0,0,9,1148,7,1581,8192,62852,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,911,1,1,33,97,33,33,33.0,0.0,97,97,97.0,0.0,142700,2195,911.0,0.0,911,911,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1097.69484083425,1097.69484083425,33,97,54.3333333333333,36.950417228136004,1365.33333333333,0,0,0,0,0,0,0,0,1,81.5,33.0,97.0,0,0,0,0,0,0,1,33,1,97,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,5266970,4,4,97,231,97,0,24.25,48.5,231,0,57.75,115.5,62,1,752424.2857142859,1963609.92171152,5205176,39,61794,20598.0,35396.2330340391,61470,107,5266792,1755597.33333333,3040259.8336873,5266187,279,0,0,0,0,92,92,0.7594499304154,0.7594499304154,0,231,36.4444444444444,79.6996096463325,6352.027777777779,0,0,0,1,0,0,0,0,1,41.0,24.25,57.75,0,0,0,0,0,0,4,97,4,231,8192,141,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
3389,6,1400549,8,7,1132,1581.0,661,0,141.5,222.7920235,1173,0,225.8571429,430.0986044,1937,10,100039.2143,251932.1469,968794.0,3.0,1400549.0,200078.4286,383994.4828,1069069.0,3.0,1336678.0,222779.6667,365723.7161,968794.0,64708.0,0,0,0,0,168,148,5.712045776,4.998040054,0,1173,169.5625,317.7627981,100973.1958,0,0,0,1,0,0,0,0,0,180.8666667,141.5,225.8571429,0,0,0,0,0,0,8,1132,7,1581,8192,62868,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
3389,6,1939868,9,8,1821,1581.0,677,0,202.33333330000002,277.7732889,1173,0,197.625,406.12170499999996,1753,8,121241.75,163639.0801,614214.0,5.0,1939868.0,242483.5,234734.8071,757034.0,5.0,1797006.0,256715.1429,171031.2417,614214.0,156876.0,0,0,0,0,192,184,4.6394909339999995,4.123991942,0,1173,189.0,326.2734328,106454.3529,0,0,1,1,0,0,0,1,0,200.1176471,202.33333330000002,197.625,0,0,0,0,0,0,9,1821,8,1581,8192,62856,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
3389,6,3103406,9,7,1148,1581.0,677,0,127.55555559999999,218.6910556,1173,0,225.8571429,430.0986044,879,5,206893.7333,270679.7386,953167.0,51.0,3103406.0,387925.75,391970.0492,1258274.0,303.0,2849171.0,474861.8333,272223.9263,953167.0,245041.0,0,0,0,0,192,152,2.900039505,2.255586282,0,1173,160.5294118,312.04409100000004,97371.51471,0,0,0,1,0,0,0,0,0,170.5625,127.55555559999999,225.8571429,0,0,0,0,0,0,9,1148,7,1581,8192,62852,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,10097795,7,8,812,3649.0,497,0,116.0,184.57789680000002,1460,0,456.125,604.4507394999999,441,1,721271.0714,2670399.682,9999229.0,1.0,98565.0,16427.5,10851.83827,34457.0,402.0,10100000.0,1440196.7140000002,3774230.075,9999247.0,1.0,0,0,0,0,152,164,0.693220649,0.79225217,0,1460,278.8125,467.38623839999997,218449.8958,0,0,0,1,0,0,0,0,1,297.4,116.0,456.125,0,0,0,0,0,0,7,812,8,3649,8192,31088,3,20,98565.0,0.0,98565.0,98565.0,9999229.0,0.0,9999229.0,9999229.0,Benign
443,6,9001500,3,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,4500750.0,2121307.616,6000741.0,3000759.0,9001500.0,4500750.0,2121307.616,6000741.0,3000759.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,92,0,0.333277787,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,8192,-1,0,28,3000759.0,0.0,3000759.0,3000759.0,6000741.0,0.0,6000741.0,6000741.0,Benign
443,6,119628564,12,14,12,31.0,1,1,1.0,0.0,31,0,2.214285714,8.285098499,0,0,4785142.56,5073764.251,10000000.0,1.0,110000000.0,10000000.0,39.35687534,10000000.0,10000000.0,120000000.0,9201357.769,2769085.655,10000000.0,1.0,0,0,0,0,240,424,0.100310491,0.117028906,0,31,1.62962963,5.890984952,34.7037037,0,0,0,0,1,0,0,0,1,1.692307692,1.0,2.214285714,0,0,0,0,0,0,12,12,14,31,254,62,11,20,10843.33333,74.96585081,11009.0,10748.0,9958203.582999999,160257.425,10000000.0,9449318.0,Benign
443,6,157,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,12738,157.0,0.0,157.0,157.0,157.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,12738.8535,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,258,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,118364314,17,17,880,5820.0,242,0,51.76470588,78.12052340000001,1430,0,342.3529412,530.8636761,56,0,3586797.394,14200000.0,58900000.0,1.0,118000000.0,7397769.625,20100000.0,58900000.0,32.0,118000000.0,7388655.875,20100000.0,59000000.0,1.0,0,0,0,0,352,352,0.14362437,0.14362437,0,1430,191.4285714,397.12868599999996,157711.1933,0,0,0,1,0,0,0,0,1,197.05882350000002,51.76470588,342.3529412,0,0,0,0,0,0,17,880,17,5820,8192,180,8,20,364858.0,308346.6399,582892.0,146824.0,58700000.0,192187.3805,58900000.0,58600000.0,Benign
53,17,1037,1,1,69,147.0,69,69,69.0,0.0,147,147,147.0,0.0,208293,1928,1037.0,0.0,1037.0,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,964.3201543,964.3201543,69,147,95.0,45.033321,2028.0,0,0,0,0,0,0,0,0,1,142.5,69.0,147.0,0,0,0,0,0,0,1,69,1,147,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
51289,6,1,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,2000000,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
3389,6,3835859,10,7,1128,1581.0,661,0,112.8,205.138869,1173,0,225.8571429,430.0986044,706,4,239741.1875,376016.5313,1320711.0,3.0,3835859.0,426206.5556,477242.0629,1320711.0,3.0,3678104.0,613017.3333,611217.157,1693113.0,160037.0,0,0,0,0,212,152,2.606977994,1.824884596,0,1173,150.5,303.437221,92074.14706,0,0,0,1,0,0,0,0,0,159.35294119999998,112.8,225.8571429,0,0,0,0,0,0,10,1128,7,1581,8192,62872,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
3389,6,1682176,8,7,1128,1581.0,661,0,141.0,222.62332059999997,1173,0,225.8571429,430.0986044,1610,8,120155.4286,245574.7802,953167.0,77.0,1682176.0,240310.8571,388947.3662,1117118.0,77.0,1573730.0,262288.3333,339508.5913,953167.0,108569.0,0,0,0,0,172,152,4.75574494,4.161276822,0,1173,169.3125,317.73127400000004,100953.1625,0,0,1,1,0,0,0,1,0,180.6,141.0,225.8571429,0,0,0,0,0,0,8,1128,7,1581,8192,62872,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53,17,1602,1,1,48,138.0,48,48,48.0,0.0,138,138,138.0,0.0,116104,1248,1602.0,0.0,1602.0,1602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,624.2197252999999,624.2197252999999,48,138,78.0,51.96152423,2700.0,0,0,0,0,0,0,0,0,1,117.0,48.0,138.0,0,0,0,0,0,0,1,48,1,138,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,54908259,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,54900000.0,0.0,54900000.0,54900000.0,54900000.0,54900000.0,0.0,54900000.0,54900000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.036424393,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
43699,6,1359316,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,1359316.0,0.0,1359316.0,1359316.0,1359316.0,1359316.0,0.0,1359316.0,1359316.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,1.4713282269999999,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,64000,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53,17,2181,1,1,44,198.0,44,44,44.0,0.0,198,198,198.0,0.0,110958,917,2181.0,0.0,2181.0,2181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,458.5052728,458.5052728,44,198,95.33333333,88.91194146,7905.333333,0,0,0,0,0,0,0,0,1,143.0,44.0,198.0,0,0,0,0,0,0,1,44,1,198,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,54338063,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,54300000.0,0.0,54300000.0,54300000.0,54300000.0,54300000.0,0.0,54300000.0,54300000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.036806612,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53,17,473,1,1,46,174.0,46,46,46.0,0.0,174,174,174.0,0.0,465116,4228,473.0,0.0,473.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2114.164905,2114.164905,46,174,88.66666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,133.0,46.0,174.0,0,0,0,0,0,0,1,46,1,174,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,68,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,29411,68.0,0.0,68.0,68.0,68.0,68.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,29411.764710000003,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
3389,6,5887203,9,8,1138,1874.0,677,0,126.44444440000001,218.2504932,1173,0,234.25,398.90090069999997,511,2,367950.1875,1060163.669,4244026.0,85.0,5887203.0,735900.375,1457232.573,4244026.0,29037.0,5858223.0,836889.0,1569504.0580000002,4320879.0,70432.0,0,0,0,0,200,168,1.528739539,1.35887959,0,1173,167.33333330000002,304.26285079999997,92575.88235,0,0,0,1,0,0,0,0,0,177.1764706,126.44444440000001,234.25,0,0,0,0,0,0,9,1138,8,1874,8192,62862,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
